Oznaka,Ime_podjetja,Cena,Sprememba_cene,Sprememba_v_odstotkih,PE_razmerje,Stevilo_delnic,Sprememba_do_danes

FLWS,1-800 FLOWERS COM,13.64,-0.16,-1.16%,24.8,478.5K,-5.93%

SRCE,1ST SOURCE CORP,50.71,-0.08,-0.16%,14.3,32.2K,-2.26%

AHC,A H BELO CORP,2.90,+0.009,+0.31%,4.9,27.5K,+2.84%

AAON,AAON INC,50.85,+0.84,+1.68%,53.0,95.0K,+2.91%

AIR,AAR CORP,46.78,+0.01,+0.02%,17.9,162.1K,+3.73%

ABMD,ABIOMED INC,183.60,+4.91,+2.75%,38.3,975.8K,+7.63%

ABM,ABM INDUSTRIES INC,38.72,+0.32,+0.83%,20.3,225.1K,+2.68%

AXAS,ABRAXAS PETE CORP,0.35,-0.0045,-1.29%,1.0,1.1M,-1.71%

ACTG,ACACIA RESEARCH CORP,2.70,0.00,0.00%,NM,70.9K,+1.50%

ACHC,ACADIA HEALTHCARE CO,33.41,-0.05,-0.15%,NM,376.2K,+0.57%

ACAD,ACADIA PHARMACEUTICALS,45.58,+1.17,+2.62%,NM,1.7M,+6.53%

AKR,ACADIA REALTY TRUST,25.01,-0.27,-1.07%,53.2,731.2K,-3.55%

AXDX,ACCELERATE DIAGNOSTICS,18.24,+0.33,+1.84%,NM,170.4K,+7.93%

ACCO,ACCO BRANDS CORP,8.69,-0.15,-1.70%,9.1,376.8K,-7.16%

ARAY,ACCURAY INC,2.61,-0.04,-1.51%,NM,378.4K,-7.45%

FLWS,1-800 FLOWERS COM,13.64,-0.16,-1.16%,24.8,478.5K,-5.93%

SRCE,1ST SOURCE CORP,50.71,-0.08,-0.16%,14.3,32.2K,-2.26%

AHC,A H BELO CORP,2.90,+0.009,+0.31%,4.9,27.5K,+2.84%

AAON,AAON INC,50.85,+0.84,+1.68%,53.0,95.0K,+2.91%

AIR,AAR CORP,46.78,+0.01,+0.02%,17.9,162.1K,+3.73%

